Sample	Diet_group	Subject	Animal	Flower	Fruit	Leaf	Others
N002	F	A3	0.110914155	0	0.889085845	0	0
N003	F	A3	0.035009725	0	0.964990275	0	0
N007	F	A4	0.220246914	0	0.732098765	0.047654321	0
N014	F	A1	0.223766816	0	0.729297459	0.046935725	0
N032	F	A2	0.034949069	0	0.915437302	0.049613628	0
N042	F	A4	0.013025169	0	0.851434727	0.135540104	0
X007	F	B2	0	0	0.940790672	0.059209328	0
X008	F	B1	0.056147951	0	0.877374209	0.066477841	0
X009	F	B1	0.1373835	0	0.842768381	0.019848119	0
X011	F	B2	0.16663608	0	0.81354377	0.01982015	0
X014	F	B2	0.170149774	0.022988506	0.762974573	0.043887147	0
X015	F	B1	0.03753394	0	0.922376617	0.040089443	0
X017	F	B1	0.047084753	0	0.952915247	0	0
X018	F	B2	0.108852584	0.037993921	0.853153495	0	0
X023	F	B1	0.177709522	0	0.822290478	0	0
X024	F	B2	0.227802226	0	0.772197774	0	0
X027	F	B2	0.113539898	0	0.740449915	0.146010187	0
X028	F	B1	0.03875969	0	0.901504788	0.059735522	0
X030	F	B1	0.019928826	0	0.799288256	0.180782918	0
X031	F	B2	0.022309711	0.007874016	0.874278215	0.095538058	0
X034	F	B2	0.091430914	0	0.801660517	0.106908569	0
X036	F	B1	0.09896862	0	0.855387316	0.045644064	0
X038	F	B1	0	0	1	0	0
X039	F	B2	0.023058252	0	0.963592233	0.013349515	0
X040	F	B1	0.027516996	0.043541599	0.817902234	0.111039171	0
X044	F	B2	0	0	0.619782733	0.380217267	0
X046	F	B1	0	0.220574606	0.611214087	0.168211307	0
X047	F	B2	0	0	0.667132867	0.332867133	0
X048	F	B1	0	0	0.695643921	0.304356079	0
X049	F	B2	0	0	0.783597725	0.216402275	0
X050	F	B1	0	0	0.651883487	0.348116513	0
X051	F	B2	0	0	0.628932639	0.371067361	0
X052	F	B2	0	0	0.779319042	0.220680958	0
X053	F	B1	0	0	0.78251634	0.21748366	0
X055	L	B2	0	0	0.539705882	0.460294118	0
X056	L	B1	0	0	0.236660929	0.763339071	0
X057	F	B2	0	0	1	0	0
X058	F	B1	0	0	1	0	0
X059	L	B2	0	0	0.423007246	0.576992754	0
X060	L	B1	0	0	0.573388677	0.426611323	0
X062	F	B1	0	0	0.70155902	0.266666667	0.031774313
X063	L	B1	0	0.319982248	0.324531233	0.300898702	0.054587818
X065	L	B2	0	0	0.526089703	0.473910297	0
X066	L	B1	0	0	0.534428039	0.465571961	0
X068	F	B1	0	0	0.715111643	0.284888357	0
X069	L	B2	0	0	0.238775065	0.739973845	0.02125109
Y001	F	A1	0	0	0.975525681	0.024474319	0
Y002	F	A4	0.011306043	0	0.961403509	0.027290448	0
Y006	F	A2	0.030195009	0	0.951352485	0.018452506	0
Y007	F	A4	0	0	0.942247659	0.057752341	0
Y008	F	A4	0.128840125	0	0.871159875	0	0
Y009	F	A1	0.122783083	0	0.877216917	0	0
Y010	F	A1	0.073542024	0	0.806389365	0.120068611	0
Y012	F	A2	0.12346428	0	0.740330654	0.136205066	0
Y013	F	A4	0.102538071	0	0.897461929	0	0
Y014	F	A2	0.096491228	0	0.903508772	0	0
Y015	F	A2	0.073155216	0	0.907601781	0.019243003	0
Y016	F	A1	0.067992521	0	0.932007479	0	0
Y018	F	A1	0.005985523	0	0.90158686	0.092427617	0
Y021	F	A2	0.162705667	0	0.795579192	0.04171514	0
Y023	F	A4	0.008317797	0	0.991682203	0	0
Y024	F	A1	0.096074209	0	0.812324002	0.091601789	0
Y025	F	A2	0.065357682	0	0.739942331	0.194699986	0
Y026	F	A4	0.093962067	0	0.823734122	0.082303811	0
Y028	F	A1	0.09826087	0	0.90173913	0	0
Y030	F	A2	0.209811707	0	0.790188293	0	0
Y031	F	A4	0	0	1	0	0
Y033	F	A1	0	0	1	0	0
Y034	F	A2	0.094415659	0	0.891767415	0.013816926	0
Y036	F	A2	0.016235413	0	0.951674277	0.032090309	0
Y037	F	A1	0	0	1	0	0
Y038	F	A4	0	0	1	0	0
