CAZY	A010	A013	A020	A023	A028	A038	A052	A058	A063	A067	A069	A079	A083	A089	A094	A103	A110	A114	A124	B005	B010	B012	B023	B026	B030	B035	B039	B042	B047	B050	B053	B056	B058	B063	B071	B078	B084	B092	B098	B100	C005	C010	C012	C021	C027	C033	C045	C051	C056	C061	C065	C068	D010	D016	D026	D043	D046	D048	D058	D063	D068	D072	D081	E009	E017	E020	E026	E030	G009	G027	N041	X007	X011	X014	X018	X024	X027	X031	X034	X039	X044	X047	X049	X051	X052	X055	X057	X059	X065	X069	Y006	Y012	Y014	Y015	Y021	Y025	Y030	Y034	Y036
GH26	2441.758333	1990.293076	2374.003104	5718.623226	3060.961714	2844.116325	2157.903121	1472.696087	2957.293589	1857.518294	3471.413948	3453.442007	2573.436358	1038.962799	686.5279114	3395.304924	4973.163014	4672.409671	7217.384048	1317.922717	2368.252327	1736.172885	2206.404125	1973.664311	977.0329829	2361.766479	2822.231492	3454.069151	2855.704479	2581.584254	2505.702982	2632.812761	3884.485659	2709.314968	1729.248648	4197.702637	5610.383171	2965.208068	2728.858093	4136.915929	3061.124143	6016.002195	2055.264068	1516.305938	1922.513373	1898.237566	2395.295449	1464.949088	3027.620099	3296.737028	1950.629702	3939.903585	1846.063622	2166.305194	5232.320121	4474.249243	2798.996533	2312.188688	1892.910081	1664.125681	1590.607005	473.7905596	1667.604757	1199.509628	4673.850792	730.8721186	3322.244617	2597.286295	3111.768079	1350.436139	4343.241083	1559.062461	1059.651027	2430.062143	3838.755464	2864.517163	2895.339856	2922.234864	1937.383434	2067.454233	3342.15581	3847.520086	3842.685461	3849.058903	3505.764074	4418.564649	3506.44777	2089.308994	4613.544203	1865.152688	4381.488461	5696.72177	6107.540498	4267.805551	4275.627757	1084.735086	402.1806538	3282.070859	4352.276585
GH30	4532.910909	4544.608028	4730.197399	5452.616863	4778.745304	3458.875301	2171.355661	2563.477107	4371.538667	2810.451952	3958.852034	4037.792214	3603.638784	2903.845533	3137.657234	5563.876561	4686.783952	3855.005045	3954.023423	2750.640744	3977.921631	5247.254712	3862.860618	6377.186606	3190.895289	4081.943455	4778.614115	3877.507823	5355.894564	5770.853868	5828.997599	5887.705969	6225.143652	6328.468589	5660.829089	6295.529644	8586.817542	7039.97744	6416.941225	8282.056416	11261.65905	8334.567929	6569.610424	3344.401729	2698.329872	2738.831034	11103.5326	2992.897342	7776.007179	5374.792311	1857.324632	4934.610371	3646.491776	3813.274278	4455.44509	6673.37403	5360.18637	4529.441756	3760.652194	3776.072712	2944.410958	2307.478066	3627.240093	3947.225337	5632.034369	2545.763732	6286.755111	4934.115918	7132.373382	3934.325492	4320.218787	4389.552277	3556.579009	6337.8862	7441.102797	5433.524165	6610.385673	6682.458737	6598.009354	4657.663555	8662.975269	7549.676436	4564.884312	6947.096704	6385.290395	7584.161056	7545.097785	4883.988031	7752.20027	6374.515704	2047.006079	1850.468359	3125.292614	2676.141729	2620.423697	1917.100875	1776.29529	2183.048732	3186.568135
GH43	18527.09631	19040.45316	20242.25398	35937.05559	22050.51899	21118.05021	14687.51224	7992.274794	17188.99792	15747.36175	18592.05088	21661.63608	17672.28578	12845.1413	11196.14675	26958.36567	31510.37625	29330.59732	42227.10202	15030.3764	23056.4007	23729.31434	26891.92609	31945.09908	15607.58029	26038.07094	29411.66893	26444.46326	27427.01876	29209.36466	31533.02649	31121.35067	38393.1419	31405.6486	25090.29072	38150.46916	52490.49138	36032.83574	31254.20664	42850.65731	48215.53182	53509.07725	27288.91717	18629.19483	19156.0967	18710.94585	41517.27686	16842.85386	40280.63807	33304.65038	18225.73116	34426.05473	17100.4981	18662.15159	30176.47023	34444.58937	24315.65259	22207.7794	19824.18754	17932.48316	15498.50449	7167.953046	16702.09649	16523.41153	35227.53136	10073.31428	26040.08138	24700.81256	37408.2676	16554.86037	25192.28181	22468.59132	16182.7179	30259.26596	39471.88439	30354.94505	30329.25629	31936.45622	33791.67915	16793.24855	41817.45509	34200.0325	24867.86012	41454.32844	37208.53081	35026.57035	33952.67858	25948.70116	37622.62058	27037.13124	19930.71797	21194.16542	24997.57836	20442.07875	20517.62625	11349.94085	8933.316025	15598.39094	19289.29846
GH53	3429.030101	3826.436517	4334.302295	6735.786858	3959.999573	3193.944787	2036.624438	907.1167232	3091.138785	2887.902496	4420.831252	4692.659975	3029.103479	1820.806648	1636.936718	5039.320752	5462.99027	5019.772257	6039.356585	3806.888744	5502.484433	5007.578266	5892.456051	7830.489153	2265.136321	4103.45455	4971.295661	5002.016029	6359.130561	5226.552269	5839.141305	5386.882519	6289.74379	4633.01343	5391.367246	5828.933688	9053.660463	5580.864125	4148.464329	6330.232439	7520.46584	9383.985016	4222.231709	2477.758471	3180.711046	3816.130611	6825.413571	3572.489793	9919.636121	8534.612208	3423.146729	6131.412218	2743.894794	3573.541963	5434.752005	7443.173127	4619.61752	4077.248044	5153.261917	2949.802841	2391.603613	1258.62985	3238.959348	3152.281797	6703.550418	1108.834246	5318.697775	4737.94204	9481.660544	3942.594114	5929.069565	4467.978357	5022.688513	7619.073072	10872.08058	7953.722138	6508.775486	7903.586721	6770.610332	1285.640532	10846.09937	7317.344021	5365.788217	11343.37191	8932.862174	6842.500703	7075.20901	5088.691378	7414.478759	5193.415733	3706.242268	3965.799199	5088.797972	4152.380422	4429.477313	1750.983664	1369.674759	3103.184137	5795.806515
GH98	15.20348342	14.91301056	30.97985851	2.714853413	0.594291863	11.0638571	7.308445064	1.427929173	1.159687273	4.918453837	0.929042417	7.582993615	11.08376153	24.71897366	25.53539247	4.11528144	0.970635834	1.272247569	0.765130207	0	0	0	0	0	2.058590086	2.822407956	3.648967406	0.586814906	1.082315508	6.729319889	1.325981943	3.078045386	3.17045655	4.845825983	0	0	0.805711997	0	0.771213731	0	0	0	1.428718327	0.584967508	0.232756903	0	0	0	0	0	0	0	7.318425809	2.108415227	0.645799455	15.69471269	4.72840265	11.47381791	8.917259035	57.364018	31.15382774	31.26481494	45.96909291	3.066103746	0.529968463	1.446671327	1.835592604	0.532174389	0.140713674	0.27472317	2.256376948	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.549832624	0	0	1.405194502	1.152950923	2.81089694	2.354853393	0.324512297	1.944816526	3.996458611	0.384008717	0.41802008
GH141	567.4306882	598.3690557	872.6269091	1247.054451	558.9270243	431.4346459	482.9732104	110.0574425	315.2900785	512.3108656	356.3734859	678.2800848	435.6562918	384.1992275	371.9632221	1135.462866	811.7032073	595.2961431	944.7539585	474.8781064	455.9949842	896.1489101	502.2342766	669.1077383	239.7379957	446.6280475	450.8238033	520.2303351	836.394332	766.6099948	855.2108254	977.6166645	750.2870815	921.7510191	370.7147348	391.6656796	1062.107992	807.081798	851.5479902	985.1132282	1531.335987	2405.691379	639.4207728	204.3391561	310.2760432	279.6195446	944.4201373	393.4597123	1241.734619	774.3723583	153.0501594	715.753564	972.178468	448.053373	732.2079178	1128.078968	902.7426253	778.4448204	1071.823981	1126.821563	958.1178607	592.9387609	1000.400909	699.4692925	1255.983845	1000.553947	1155.46732	924.1827556	1064.046244	383.6387266	552.5614736	327.3309312	282.0151515	610.5685834	1081.556503	826.1287667	912.0936438	807.5416277	597.2726254	267.9270421	1186.825831	728.3809854	628.041051	1096.688161	1406.806022	970.6735439	1435.577788	952.3723819	872.5878397	633.5894047	301.2096357	339.9388415	466.769597	384.980674	252.1038888	122.2774618	182.1321803	256.3355687	482.0424369
GH28	16236.61575	15839.98105	11735.19163	22745.43412	17349.28608	19091.43561	11467.10223	9604.905839	14564.89456	13199.11226	15775.28171	13781.69659	15416.4715	14707.65434	9304.61638	19949.46933	24800.56881	24493.86318	35189.02297	11762.13304	18165.04341	14845.04127	20772.71529	19831.88334	13045.1305	23750.66845	21472.02321	20237.32945	13794.94749	17156.51778	19011.60016	18187.27079	23294.98547	20476.87959	17016.89819	26222.59081	31591.61758	21118.40664	18725.7555	27433.49469	26972.42436	28105.40772	15379.9977	20914.307	22912.98069	18659.97489	25134.85786	16545.56787	20757.40527	15997.25352	17784.84651	27927.63437	11064.00326	12467.30819	23257.61467	21801.67757	14613.13531	13639.72569	9823.330904	9774.355411	10268.61521	8808.51814	11017.35017	9307.77437	20601.29085	6153.20229	17374.81239	14990.6528	20427.21546	10815.91522	18119.41196	33007.21474	13405.929	16352.04205	18791.91046	16454.91032	14157.26432	14749.49052	18402.15516	9596.223014	21047.62571	18699.35905	16833.89093	19547.62359	21253.92586	17707.1233	21617.03865	18416.13753	20285.64761	15166.14003	21040.60381	21517.47313	21146.51831	20440.05404	18127.59932	19955.8798	12654.46137	18592.21248	15834.05232
GH67	1237.368799	946.1920809	981.9184165	2862.428749	1745.371788	1008.534966	286.233795	199.0870287	1082.320929	409.08433	1550.419361	999.9708115	1162.273567	460.149149	237.0250732	2177.192422	3228.258246	2922.09861	4296.01703	1023.967648	1829.542128	1709.729184	1726.420034	2357.652136	618.6387627	1659.117283	1983.181409	1701.580509	1298.343748	1875.537988	1758.091231	1918.18838	3054.799512	2081.364257	1818.378413	3429.567773	4956.548034	3599.939309	3093.938554	4200.746828	4691.79424	4160.384188	2300.159592	1105.11385	1148.464695	1057.346739	3967.370333	1058.946907	3326.466494	2677.569186	1398.23398	2815.630181	591.3573604	949.5688291	2397.611558	2219.026391	1688.025687	931.7903252	670.3773021	647.3150916	536.6830369	110.0308091	620.2700438	489.5150483	2533.60169	250.2653789	1598.603744	1393.223169	2224.041585	958.2734058	1750.60615	816.2699897	612.5062121	1401.223577	2378.5253	1872.177656	2107.763674	1874.615336	1837.797019	2560.241195	2733.204179	3106.798377	1701.908417	3060.900238	2257.432619	2041.53722	2323.71598	1219.622129	2817.479272	1539.058652	1487.359981	1778.313192	2171.836519	1461.23723	1503.757361	489.1112079	117.7535672	990.1851443	1415.731287
GH78	9124.704246	9996.774631	10827.55735	10374.15365	7404.051025	8652.726654	8961.971971	5069.288492	7079.900621	9198.100685	8780.177165	10593.09984	7583.27112	7131.613526	7342.848734	11143.0626	8994.023007	8400.168069	8556.519861	7406.565384	8942.196049	16920.45079	9093.606569	11681.48148	8924.119177	8469.076446	8608.576127	7931.090693	13362.36058	14671.79795	13141.69525	12754.71525	12647.37269	15173.19306	13076.89665	10520.42422	12545.91069	17460.43544	18235.47513	15622.71292	16246.57023	18498.07751	18330.87186	5732.420735	9756.336369	8214.030399	13261.75827	4471.039512	11859.19137	6858.197092	2744.924666	7516.583223	7988.707262	6499.156372	7909.10625	10719.30545	8510.036272	8717.832363	9579.256512	10219.1551	8997.521556	4603.615824	8428.968828	8745.3548	10925.90893	6566.419091	9905.318636	8004.856412	10003.66546	7174.382943	8215.292466	4253.925607	3909.980745	8494.395679	8372.211944	7351.10477	10987.25663	8817.736052	10631.15704	19344.40876	12342.48238	12791.37078	7918.41148	7960.454109	9232.72861	11836.91643	11048.50894	11264.4284	11887.24541	11076.23479	4826.71186	5647.272059	7542.477931	7319.207804	5282.702149	3971.317565	4955.469681	4539.524676	6425.850458
GH13	34931.23201	37142.21629	30864.45764	27296.86346	27860.88939	29799.03146	34035.81222	33848.71031	35894.68904	33933.01799	37725.32346	39800.59892	32310.17589	37077.67912	39570.81741	36607.01438	34096.80335	36180.62564	36079.24446	30948.54247	42284.04983	49691.93615	38236.11533	44131.93707	38858.68532	35790.94468	40620.35709	42328.73751	44907.16326	40988.5527	36356.31155	36868.91637	37668.71179	39736.52457	43519.59054	35450.49617	37768.01334	42223.50185	40717.23254	38379.08359	38967.06543	45456.6095	46202.18916	32973.38649	42365.30226	42455.64943	37864.55782	19574.91318	37347.491	27837.87633	16038.47622	29505.76724	35417.52012	29375.89175	32196.0936	43604.22543	32855.81276	42243.94499	46009.92587	35408.88449	32041.24101	35401.50069	36980.7241	37334.69448	40445.99873	28567.12942	44219.34012	38163.67128	34315.71637	37449.7016	33697.8984	32708.10341	23390.61777	34211.9125	37739.80578	31150.16325	36300.19422	34893.20091	35858.16858	45345.62628	42979.28489	38183.25769	35759.29203	33006.90388	33127.48567	40471.75762	38659.61734	37890.13832	37031.7594	38326.71922	21714.31217	20952.5387	26905.8934	26233.93382	22772.49676	19724.41357	32770.72794	19601.03786	25315.51991
